epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,1,,,3.2299916744232178,,
0,3,,,3.2153396606445312,,
0,5,,,3.2105398178100586,,
0,7,,,3.199173927307129,,
0,9,,,3.1929104328155518,,
0,11,,,3.1857357025146484,,
0,13,,,3.178342819213867,,
0,15,,,3.166968584060669,,
0,17,,,3.157674551010132,,
0,19,,,3.163252830505371,,
0,21,,,3.1435091495513916,,
0,23,,,3.139298677444458,,
0,25,,,3.132758378982544,,
0,27,,,3.122734308242798,,
0,29,,,3.1101057529449463,,
0,31,,,3.1075539588928223,,
0,33,,,3.093574285507202,,
0,35,,,3.091148614883423,,
0,37,,,3.0758602619171143,,
0,39,,,3.0704386234283447,,
0,41,,,3.0710251331329346,,
0,43,,,3.0559375286102295,,
0,45,,,3.0477306842803955,,
0,47,,,3.041151762008667,,
0,49,,,3.024458885192871,,
0,51,,,3.02187180519104,,
0,53,,,3.015381097793579,,
0,55,,,3.0010035037994385,,
0,57,,,2.994288206100464,,
0,59,,,2.9864444732666016,,
0,61,,,2.9824721813201904,,
0,63,,,2.971620798110962,,
0,65,,,2.9683985710144043,,
0,67,,,2.943563222885132,,
0,69,,,2.961362361907959,,
0,71,,,2.9309892654418945,,
0,73,,,2.9350967407226562,,
0,75,,,2.913567304611206,,
0,77,,,2.9030098915100098,,
0,79,,,2.890413284301758,,
0,81,,,2.899742603302002,,
0,83,,,2.8851845264434814,,
0,85,,,2.8648600578308105,,
0,87,,,2.8622965812683105,,
0,89,,,2.8412387371063232,,
0,91,,,2.855416774749756,,
0,93,,,2.830709218978882,,
0,95,,,2.8160417079925537,,
0,97,,,2.813502550125122,,
0,99,,,2.787423610687256,,
0,101,,,2.7919094562530518,,
0,103,,,2.795137405395508,,
0,105,,,2.765842914581299,,
0,107,,,2.77543306350708,,
0,109,,,2.7276289463043213,,
0,111,,,2.7510247230529785,,
0,113,,,2.7519562244415283,,
0,115,,,2.7375757694244385,,
0,117,,,2.7014575004577637,,
0,119,,,2.6881027221679688,,
0,121,,,2.6826422214508057,,
0,123,,,2.684736967086792,,
0,125,,,2.6642911434173584,,
0,127,,,2.6698384284973145,,
0,129,,,2.646968126296997,,
0,131,,,2.6438093185424805,,
0,133,,,2.6541664600372314,,
0,135,,,2.605189561843872,,
0,137,,,2.602167844772339,,
0,139,,,2.5960373878479004,,
0,141,,,2.5931594371795654,,
0,143,,,2.5818278789520264,,
0,145,,,2.557372570037842,,
0,147,,,2.552577018737793,,
0,149,,,2.5251588821411133,,
0,151,,,2.5156662464141846,,
0,153,,,2.5102243423461914,,
0,155,,,2.520948886871338,,
0,157,,,2.4811439514160156,,
0,159,,,2.482163667678833,,
0,161,,,2.4777843952178955,,
0,163,,,2.465329885482788,,
0,165,,,2.4346089363098145,,
0,167,,,2.4128668308258057,,
0,169,,,2.4339759349823,,
0,171,,,2.4303879737854004,,
0,173,,,2.393245220184326,,
0,175,,,2.3649556636810303,,
0,177,,,2.3962290287017822,,
0,179,,,2.368124485015869,,
0,181,,,2.3492050170898438,,
0,183,,,2.326596975326538,,
0,185,,,2.3060109615325928,,
0,187,,,2.318260431289673,,
0,189,,,2.310758113861084,,
0,191,,,2.2859432697296143,,
0,193,,,2.2989320755004883,,
0,195,,,2.2920312881469727,,
0,197,,,2.2784886360168457,,
0,199,,,2.2511558532714844,,
0,201,,,2.2464914321899414,,
0,203,,,2.202793836593628,,
0,205,,,2.1871418952941895,,
0,207,,,2.2279319763183594,,
0,209,,,2.1972575187683105,,
0,211,,,2.2213943004608154,,
0,213,,,2.1846344470977783,,
0,215,,,2.1510159969329834,,
0,217,,,2.1624627113342285,,
0,219,,,2.1218132972717285,,
0,221,,,2.1759934425354004,,
0,223,,,2.1302382946014404,,
0,225,,,2.0866775512695312,,
0,227,,,2.0883731842041016,,
0,229,,,2.0915355682373047,,
0,231,,,2.096527338027954,,
0,233,,,2.0416433811187744,,
0,235,,,2.038166046142578,,
0,237,,,2.0033698081970215,,
0,239,,,2.0372958183288574,,
0,241,,,1.983863115310669,,
0,243,,,2.0269131660461426,,
0,245,,,1.9985018968582153,,
0,247,,,1.9475250244140625,,
0,249,,,2.0027859210968018,,
0,251,,,1.9008722305297852,,
0,253,,,1.968555212020874,,
0,255,,,1.9403735399246216,,
0,257,,,1.9012064933776855,,
0,259,,,1.9593933820724487,,
0,261,,,1.9026429653167725,,
0,263,,,1.9150322675704956,,
0,265,,,1.9152525663375854,,
0,267,,,1.9454169273376465,,
0,269,,,1.9072006940841675,,
0,271,,,1.8267104625701904,,
0,273,,,1.9294252395629883,,
0,275,,,1.8210484981536865,,
0,277,,,1.8420089483261108,,
0,279,,,1.8370877504348755,,
0,281,,,1.782546877861023,,
0,283,,,1.739397644996643,,
0,285,,,1.9234281778335571,,
0,287,,,1.7661229372024536,,
0,289,,,1.8033620119094849,,
0,291,,,1.756983757019043,,
0,293,,,1.7409629821777344,,
0,295,,,1.8012281656265259,,
0,297,,,1.751564860343933,,
0,299,,,1.711052417755127,,
0,301,,,1.776163101196289,,
0,303,,,1.8075109720230103,,
0,305,,,1.6881698369979858,,
0,307,,,1.720697045326233,,
0,309,,,1.6615755558013916,,
0,311,,,1.7026718854904175,,
0,312,,,,0.0012499999720603228,3.2487151622772217
1,313,,,1.6473357677459717,,
1,315,,,1.686160922050476,,
1,317,,,1.5995713472366333,,
1,319,,,1.637439250946045,,
1,321,,,1.5700137615203857,,
1,323,,,1.688277244567871,,
1,325,,,1.6549028158187866,,
1,327,,,1.603805422782898,,
1,329,,,1.6062994003295898,,
1,331,,,1.632957935333252,,
1,333,,,1.5841535329818726,,
1,335,,,1.687389612197876,,
1,337,,,1.620605230331421,,
1,339,,,1.5793014764785767,,
1,341,,,1.5913771390914917,,
1,343,,,1.5643939971923828,,
1,345,,,1.5695453882217407,,
1,347,,,1.4724440574645996,,
1,349,,,1.5753713846206665,,
1,351,,,1.6203384399414062,,
1,353,,,1.5627275705337524,,
1,355,,,1.4813461303710938,,
1,357,,,1.590049386024475,,
1,359,,,1.6291782855987549,,
1,361,,,1.506546139717102,,
1,363,,,1.4855080842971802,,
1,365,,,1.5001111030578613,,
1,367,,,1.4220116138458252,,
1,369,,,1.6087442636489868,,
1,371,,,1.4997756481170654,,
1,373,,,1.5227867364883423,,
1,375,,,1.4863168001174927,,
1,377,,,1.567488431930542,,
1,379,,,1.356789231300354,,
1,381,,,1.4089560508728027,,
1,383,,,1.4812690019607544,,
1,385,,,1.4540306329727173,,
1,387,,,1.405664086341858,,
1,389,,,1.3892886638641357,,
1,391,,,1.4925650358200073,,
1,393,,,1.4314414262771606,,
1,395,,,1.4283478260040283,,
1,397,,,1.3911124467849731,,
1,399,,,1.475480556488037,,
1,401,,,1.4823658466339111,,
1,403,,,1.4490524530410767,,
1,405,,,1.3459829092025757,,
1,407,,,1.3175618648529053,,
1,409,,,1.4434313774108887,,
1,411,,,1.4198731184005737,,
1,413,,,1.4213378429412842,,
1,415,,,1.3823014497756958,,
1,417,,,1.3693515062332153,,
1,419,,,1.450151801109314,,
1,421,,,1.3899635076522827,,
1,423,,,1.409009575843811,,
1,425,,,1.244012475013733,,
1,427,,,1.387657642364502,,
1,429,,,1.4188017845153809,,
1,431,,,1.3091034889221191,,
1,433,,,1.3338998556137085,,
1,435,,,1.3873414993286133,,
1,437,,,1.4486706256866455,,
1,439,,,1.4241942167282104,,
1,441,,,1.3040348291397095,,
1,443,,,1.3890340328216553,,
1,445,,,1.281465768814087,,
1,447,,,1.364262580871582,,
1,449,,,1.4648724794387817,,
1,451,,,1.25201416015625,,
1,453,,,1.2853561639785767,,
1,455,,,1.3800181150436401,,
1,457,,,1.4546618461608887,,
1,459,,,1.2839230298995972,,
1,461,,,1.4472227096557617,,
1,463,,,1.374354362487793,,
1,465,,,1.313349723815918,,
1,467,,,1.2826166152954102,,
1,469,,,1.3432209491729736,,
1,471,,,1.3124163150787354,,
1,473,,,1.3298462629318237,,
1,475,,,1.2771663665771484,,
1,477,,,1.314529299736023,,
1,479,,,1.2832645177841187,,
1,481,,,1.4552392959594727,,
1,483,,,1.359998345375061,,
1,485,,,1.2737075090408325,,
1,487,,,1.3709050416946411,,
1,489,,,1.3812813758850098,,
1,491,,,1.200167179107666,,
1,493,,,1.3302388191223145,,
1,495,,,1.3249551057815552,,
1,497,,,1.2884117364883423,,
1,499,,,1.161118507385254,,
1,501,,,1.265877604484558,,
1,503,,,1.2685701847076416,,
1,505,,,1.403975486755371,,
1,507,,,1.284477710723877,,
1,509,,,1.3455007076263428,,
1,511,,,1.2677370309829712,,
